campaign_id,campaign_name,summary_date,number_of_impressions,number_of_clicks,number_of_installs,amount_of_spend,CTR,CTI
campaign_6,Super campaign 6,2022-06-24,1165876,7198,0,14.627405000000001,0.0061738984248753724,
campaign_6,Super campaign 6,2022-06-25,1171690,9642,0,18.527145,0.008229139106760321,
campaign_6,Super campaign 6,2022-06-26,1665116,25344,0,12.67539,0.015220561210149924,
campaign_6,Super campaign 6,2022-06-27,2143352,11264,0,22.42942,0.005255319704836163,
campaign_6,Super campaign 6,2022-06-28,1381458,12196,38,19.98932,0.008828353811697496,0.5260347368421052
campaign_6,Super campaign 6,2022-06-29,5242288,38372,378,98.99155499999999,0.007319704678567831,0.2618824206349206
campaign_6,Super campaign 6,2022-06-30,3832006,34160,318,93.14564999999999,0.008914391052623613,0.29291084905660375
campaign_6,Super campaign 6,2022-07-01,5825656,14414,180,42.424785,0.0024742277951186956,0.23569325
campaign_6,Super campaign 6,2022-07-02,3337662,28710,156,44.369065,0.008601829663998332,0.2844170833333333
campaign_6,Super campaign 6,2022-07-03,4268296,24424,134,38.52056,0.0057221898387553255,0.2874668656716418
campaign_6,Super campaign 6,2022-07-04,0,0,72,0.0,,0.0
